2025-12-30 13:21:10,237 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:10,238 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:10,240 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:17,286 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:17,292 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:25,552 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:25,555 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:26,777 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:26,777 | MODIFIED | sensitive\secret.txt
2025-12-30 13:21:37,050 | CREATED | sensitive\new.txt
2025-12-30 13:21:49,113 | DELETED | sensitive\new.txt
2025-12-30 13:26:53,856 | MODIFIED | sensitive\secret.txt
2025-12-30 13:26:53,856 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive\secret.txt
2025-12-30 13:26:53,865 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive\secret.txt
2025-12-30 13:26:53,865 | MODIFIED | sensitive\secret.txt
2025-12-30 13:26:53,866 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive\secret.txt
2025-12-30 13:27:10,867 | WARNING | ALERT: Sensitive file CREATED -> .\sensitive\new folder
2025-12-30 13:27:10,873 | CREATED | sensitive\new folder
2025-12-30 13:27:11,865 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive
2025-12-30 13:27:33,043 | WARNING | ALERT: Sensitive file CREATED -> .\sensitive\new folder\newfile.txt
2025-12-30 13:27:33,043 | CREATED | sensitive\new folder\newfile.txt
2025-12-30 13:27:38,377 | MODIFIED | sensitive\new folder
ODIFIED -> .\sensitive\new folder
2025-12-30 13:27:45,481 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:45,539 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:45,584 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:45,618 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:45,763 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:45,780 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:45,936 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:45,951 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,095 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,110 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,245 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,262 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,391 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,407 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,546 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,563 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,716 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,733 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,872 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:46,889 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,030 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,046 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,195 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,212 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,363 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,378 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,518 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,535 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,684 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,701 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,848 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,864 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:47,997 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:48,014 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:48,156 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:48,172 | INFO | MODIFIED -> .\logs\activity.log
